model,language,params,wer,cer,status,fail_reason
aufklarer/Nemotron-3.5-ASR-Streaming-0.6B-CoreML-INT8,hau,?,,,fail,Failed to load model
Akashpb13/Hausa_xlsr,hau,?,,,fail,Failed to load model
espnet/xeus,hau,?,,,fail,Failed to load model
Cdial/hausa-asr,hau,?,,,fail,Failed to load model
CLEAR-Global/w2v-bert-2.0-clearglobal-hausa-asr-1.0.0,hau,0.6B,,,fail,Failed to load model
Mofe/xls-r-hausa-40,hau,?,,,fail,cuDNN error: CUDNN_STATUS_NOT_INITIALIZED
Sangramsing/whisper-base,hau,?,,,fail,Failed to load model
keess/whisper-model-internal,hau,?,,,fail,The generation config is outdated and is thus not compatible with the `task` arg
anuragshas/whisper-large-v2-ha,hau,?,,,fail,The generation config is outdated and is thus not compatible with the `task` arg
Sangramsing/whisper-small,hau,?,,,fail,Failed to load model
Sangramsing/whisper-tiny,hau,?,,,fail,Failed to load model
Sangramsing/whisper-medium,hau,?,,,fail,Failed to load model
anuragshas/wav2vec2-large-xls-r-300m-ha-cv8,hau,?,,,fail,cuDNN error: CUDNN_STATUS_NOT_INITIALIZED
arijitx/whisper-base-bn-trans,hau,?,,,fail,The generation config is outdated and is thus not compatible with the `task` arg
infinitejoy/wav2vec2-large-xls-r-300m-hausa,hau,?,,,fail,cuDNN error: CUDNN_STATUS_NOT_INITIALIZED
DrishtiSharma/whisper-large-v2-hausa,hau,?,,,fail,The generation config is outdated and is thus not compatible with the `task` arg
jianboy/demo,hau,?,,,fail,Failed to load model
microsoft/paza-whisper-large-v3-turbo,hau,0.8B,4.9117,3.6811,pass,
google/gemini-3.1-flash-lite,kbp,API,0.1848,0.0303,pass,
espnet/xeus,kbp,?,,,fail,Failed to load model
johntsi/ZeroSwot-Large_asr-cv_en-to-200,kbp,0.4B,,,fail,Failed to load model
johntsi/ZeroSwot-Medium_asr-cv_en-to-200,kbp,0.4B,,,fail,Failed to load model
johntsi/ZeroSwot-Large_asr-mustc_en-to-200,kbp,0.4B,,,fail,Failed to load model
johntsi/ZeroSwot-Medium_asr-mustc_en-to-200,kbp,0.4B,,,fail,Failed to load model
waxal-benchmarking/whisper-small-waxal-dag,dag,0.2B,0.0977,0.0261,pass,
waxal-benchmarking/whisper-tiny-waxal-dag,dag,37.8M,0.1059,0.0388,pass,
google/gemini-3.1-flash-lite,dag,API,0.1128,0.0279,pass,
espnet/xeus,dag,?,,,fail,Failed to load model
waxal-benchmarking/mms-300m-waxal-dag,dag,0.3B,,,fail,cuDNN error: CUDNN_STATUS_NOT_INITIALIZED
google/gemini-3.1-flash-lite,dga,API,0.087,0.0244,pass,
waxal-benchmarking/whisper-tiny-waxal-dga,dga,37.8M,0.0962,0.028,pass,
waxal-benchmarking/whisper-small-waxal-dga,dga,0.2B,0.2263,0.0496,pass,
espnet/xeus,dga,?,,,fail,Failed to load model
waxal-benchmarking/mms-300m-waxal-dga,dga,0.3B,,,fail,cuDNN error: CUDNN_STATUS_NOT_INITIALIZED
google/gemini-3.1-flash-lite,fat,API,0.0999,0.012,pass,
espnet/xeus,fat,?,,,fail,Failed to load model
UBC-NLP/Simba-SLID-49,fat,94.6M,,,fail,Failed to load model
google/gemini-3.1-flash-lite,nko,API,0.3352,0.0423,pass,
espnet/xeus,nko,?,,,fail,Failed to load model
Diomande/nko-asr-v1,nko,?,,,fail,Failed to load model
google/gemini-3.1-flash-lite,any,API,0.0434,0.0058,pass,
google/gemini-3.1-flash-lite,avn,API,0.1054,0.0176,pass,
google/gemini-3.1-flash-lite,bud,API,0.1438,0.0181,pass,
google/gemini-3.1-flash-lite,bim,API,0.075,0.0066,pass,
google/gemini-3.1-flash-lite,biv,API,0.0364,0.0066,pass,
google/gemini-3.1-flash-lite,bib,API,0.0524,0.009,pass,
google/gemini-3.1-flash-lite,bwu,API,0.0911,0.0448,pass,
google/gemini-3.1-flash-lite,ncu,API,0.0762,0.0152,pass,
google/gemini-3.1-flash-lite,ada,API,0.0401,0.0071,pass,
google/gemini-3.1-flash-lite,mzw,API,0.1816,0.0245,pass,
google/gemini-3.1-flash-lite,ffm,API,0.1183,0.0109,pass,
google/gemini-3.1-flash-lite,acd,API,0.0393,0.005,pass,
google/gemini-3.1-flash-lite,gjn,API,0.1025,0.047,pass,
google/gemini-3.1-flash-lite,xsm,API,0.1765,0.0534,pass,
google/gemini-3.1-flash-lite,xon,API,0.1037,0.0141,pass,
google/gemini-3.1-flash-lite,kma,API,0.0528,0.0067,pass,
google/gemini-3.1-flash-lite,kus,API,0.0935,0.0128,pass,
google/gemini-3.1-flash-lite,lef,API,0.137,0.0486,pass,
google/gemini-3.1-flash-lite,maw,API,0.0663,0.019,pass,
google/gemini-3.1-flash-lite,naw,API,0.2014,0.2149,pass,
google/gemini-3.1-flash-lite,gur,API,0.1838,0.2268,pass,
google/gemini-3.1-flash-lite,ntr,API,0.1194,0.1002,pass,
google/gemini-3.1-flash-lite,nzi,API,0.1713,0.0354,pass,
google/gemini-3.1-flash-lite,sig,API,0.0365,0.0055,pass,
google/gemini-3.1-flash-lite,sfw,API,0.1235,0.0124,pass,
google/gemini-3.1-flash-lite,lip,API,0.0526,0.0049,pass,
google/gemini-3.1-flash-lite,snw,API,0.0619,0.0047,pass,
google/gemini-3.1-flash-lite,sil,API,0.0844,0.0084,pass,
google/gemini-3.1-flash-lite,akp,API,0.1561,0.0249,pass,
google/gemini-3.1-flash-lite,tpm,API,0.0479,0.0055,pass,
google/gemini-3.1-flash-lite,kdh,API,0.1401,0.0148,pass,
google/gemini-3.1-flash-lite,bov,API,0.1417,0.0201,pass,
google/gemini-3.1-flash-lite,vag,API,0.1863,0.0747,pass,
